year,country,LCCR,FCDR,KAOPEN,SP,DDP,GDP_per_cap,inflation,remittance_GDP,country_type,high_inflation,LCCR_risk,FCDR_risk,KAOPEN_risk,sovereignty_risk
2022,China,9.8,2.0,-1.19,0.08,57,12700,2.0,0.2,新兴,0,0.8554216867469879,0.025110782865583454,0.8349056603773585,0.5191941199205004
2022,Argentina,17.0,58.0,-1.89,3.5,75,13700,94.8,0.3,新兴,1,0.42168674698795183,0.8522895125553914,1.0,0.7095905038173373
2022,Guinea,13.5,25.0,-1.2,0.6,52,1200,11.8,1.8,发展中,0,0.6325301204819278,0.36484490398818314,0.8372641509433962,0.5664028399767237
2022,Fiji,13.0,5.5,1.5,0.25,51,5200,1.1,7.2,发展中,0,0.6626506024096386,0.07680945347119646,0.20047169811320764,0.33587836197497556
2022,Japan,17.8,2.0,1.9,0.04,59,34000,2.5,0.1,发达,0,0.37349397590361444,0.025110782865583454,0.10613207547169812,0.1806683186020188
2023,US,7.6,0.3,2.35,0.45,100,81000,4.1,0.0,发达,0,0.9879518072289157,0.0,0.0,0.3951807228915663
2023,China,9.5,2.2,-1.0,0.1,56,12600,0.2,0.2,新兴,0,0.8734939759036144,0.028064992614475627,0.7900943396226415,0.5186424553317643
2023,Argentina,16.0,62.0,-1.5,4.5,80,13500,211.4,0.3,新兴,1,0.4819277108433736,0.9113737075332349,0.9080188679245284,0.738924340935549
2023,Guinea,12.5,28.0,-1.0,0.7,54,1200,7.8,1.9,发展中,0,0.6927710843373495,0.4091580502215657,0.7900943396226415,0.5987905217480944
2023,Fiji,12.5,6.0,1.6,0.3,52,5300,5.1,7.3,发展中,0,0.6927710843373495,0.08419497784342689,0.17688679245283023,0.3461637833628766
2023,Japan,17.5,2.2,1.95,0.05,58,33800,3.3,0.1,发达,0,0.39156626506024106,0.028064992614475627,0.09433962264150952,0.1867204275981886
2024,US,7.5,0.3,2.35,0.5,100,85000,3.0,0.0,发达,0,0.9939759036144579,0.0,0.0,0.3975903614457832
2024,China,9.2,2.5,-1.0,0.12,55,12500,0.2,0.2,新兴,0,0.8915662650602411,0.03249630723781389,0.7900943396226415,0.5276438968437503
2024,Argentina,15.0,65.0,-1.5,5.0,82,13000,276.2,0.3,新兴,1,0.5421686746987953,0.9556868537666174,0.9080188679245284,0.7807459849710707
2024,Guinea,11.5,30.0,-1.0,0.8,55,1200,6.5,2.0,发展中,0,0.7530120481927711,0.43870014771048743,0.7900943396226415,0.6347037462858318
2024,Fiji,12.0,6.5,1.6,0.35,53,5400,2.5,7.5,发展中,0,0.7228915662650603,0.0915805022156573,0.17688679245283023,0.3611661858828531
2024,Japan,17.2,2.5,1.95,0.06,57,33100,2.5,0.1,发达,0,0.40963855421686757,0.03249630723781389,0.09433962264150952,0.1957218691101745
2025,US,7.4,0.3,2.35,0.55,100,87000,2.5,0.0,发达,0,1.0,0.0,0.0,0.4
2025,China,9.0,2.8,-1.0,0.15,54,12700,1.5,0.2,新兴,0,0.9036144578313253,0.03692762186115214,0.7900943396226415,0.5342356998015193
2025,Argentina,14.0,68.0,-1.5,5.5,85,12800,50.0,0.3,新兴,1,0.6024096385542169,1.0,0.9080188679245284,0.8225676290065924
2025,Guinea,10.5,32.0,-1.0,0.9,56,1200,8.0,2.1,发展中,0,0.8132530120481928,0.4682422451994091,0.7900943396226415,0.6706169708235692
2025,Fiji,11.5,7.0,1.6,0.4,54,5500,3.0,7.6,发展中,0,0.7530120481927711,0.09896602658788774,0.17688679245283023,0.37616858840282963
2025,Japan,17.0,2.8,1.95,0.07,56,32800,2.0,0.1,发达,0,0.42168674698795183,0.03692762186115214,0.09433962264150952,0.2023136720679435
